modo_envio,segmento,pais,cidade,estado,cep,regiao,categoria,subcategoria,vendas,quantidade,desconto,lucro,margem
Standard Class,Consumer,United States,Roseville,California,95661,West,Material de Escritório,Papel,35.44,1,0.0,16.6568,0.47000000000000003
Standard Class,Consumer,United States,Roseville,California,95661,West,Material de Escritório,Arte,11.52,4,0.0,3.456,0.3
Standard Class,Consumer,United States,Roseville,California,95661,West,Material de Escritório,Fixadores,4.02,2,0.0,1.9698,0.49000000000000005
Standard Class,Consumer,United States,Roseville,California,95661,West,Material de Escritório,Fichários,76.176,3,0.2,26.6616,0.35
Standard Class,Consumer,United States,Roseville,California,95661,West,Material de Escritório,Suprimentos,65.88,6,0.0,18.4464,0.28
Standard Class,Consumer,United States,Roseville,California,95661,West,Móveis,Decoração,43.12,14,0.0,20.6976,0.48000000000000004
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Móveis,Decoração,82.8,2,0.2,10.35,0.125
Standard Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Arte,8.82,3,0.0,2.3814,0.27
Standard Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Envelopes,10.86,3,0.0,5.1042,0.47
Standard Class,Corporate,United States,San Francisco,California,94122,West,Material de Escritório,Papel,143.7,3,0.0,68.976,0.48000000000000004
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Material de Escritório,Eletrodomésticos,839.43,3,0.0,218.2518,0.26
Standard Class,Consumer,United States,Pasadena,California,91104,West,Material de Escritório,Armazenamento,671.93,7,0.0,20.1579,0.030000000000000006
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Móveis,Decoração,93.888,4,0.2,12.9096,0.13749999999999998
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Tecnologia,Celulares,384.45,11,0.0,103.8015,0.27
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Tecnologia,Celulares,149.97,3,0.0,5.9988,0.04
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Móveis,Cadeiras,1951.84,8,0.0,585.552,0.30000000000000004
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Material de Escritório,Fichários,171.55,5,0.0,80.6285,0.47
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Material de Escritório,Eletrodomésticos,157.92,5,0.2,17.766,0.1125
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Tecnologia,Celulares,203.184,2,0.2,15.2388,0.075
First Class,Corporate,United States,San Jose,California,95123,West,Material de Escritório,Papel,58.38,7,0.0,26.271,0.45
First Class,Corporate,United States,San Jose,California,95123,West,Material de Escritório,Papel,105.52,4,0.0,48.5392,0.46
First Class,Corporate,United States,San Jose,California,95123,West,Material de Escritório,Armazenamento,80.88,6,0.0,21.0288,0.26
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Material de Escritório,Arte,6.63,3,0.0,1.7901,0.27
Second Class,Consumer,United States,Seattle,Washington,98115,West,Móveis,Cadeiras,457.568,2,0.2,51.4764,0.1125
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Material de Escritório,Etiquetas,14.62,2,0.0,6.8714,0.47000000000000003
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Tecnologia,Celulares,944.93,7,0.0,236.2325,0.25
First Class,Consumer,United States,Los Angeles,California,90045,West,Material de Escritório,Papel,5.98,1,0.0,2.691,0.44999999999999996
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Tecnologia,Acessórios,54.384,2,0.2,1.3596,0.024999999999999998
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Material de Escritório,Envelopes,28.4,5,0.0,13.348,0.47000000000000003
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Material de Escritório,Fichários,27.68,2,0.2,9.688,0.35000000000000003
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Material de Escritório,Arte,9.936,3,0.2,2.7324,0.275
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Tecnologia,Máquinas,8159.952,8,0.4,-1359.992,-0.16666666666666666
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Material de Escritório,Armazenamento,275.928,3,0.2,-58.6347,-0.21250000000000002
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Móveis,Cadeiras,1740.06,9,0.3,-24.858,-0.014285714285714287
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Material de Escritório,Arte,32.064,6,0.2,6.8136,0.2125
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Material de Escritório,Eletrodomésticos,177.98,5,0.8,-453.849,-2.5500000000000003
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Tecnologia,Celulares,143.976,3,0.2,8.9985,0.0625
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Material de Escritório,Papel,20.94,3,0.0,9.8418,0.4699999999999999
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Material de Escritório,Papel,110.96,2,0.0,53.2608,0.48000000000000004
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Móveis,Cadeiras,340.144,7,0.2,21.259,0.0625
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Material de Escritório,Eletrodomésticos,52.448,2,0.8,-131.12,-2.5
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Material de Escritório,Etiquetas,20.16,4,0.2,6.552,0.32499999999999996
Second Class,Consumer,United States,Houston,Texas,77036,Central,Material de Escritório,Eletrodomésticos,97.264,4,0.8,-243.16,-2.5
Second Class,Consumer,United States,Newark,Ohio,43055,East,Móveis,Cadeiras,396.802,7,0.3,-11.3372,-0.028571428571428567
Second Class,Consumer,United States,Newark,Ohio,43055,East,Material de Escritório,Suprimentos,15.88,5,0.2,-3.7715,-0.2375
Standard Class,Home Office,United States,New York City,New York,10009,East,Material de Escritório,Arte,3.28,1,0.0,1.4104,0.43000000000000005
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Material de Escritório,Armazenamento,24.816,2,0.2,1.8612,0.075
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Tecnologia,Acessórios,408.744,7,0.2,76.6395,0.18749999999999997
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Tecnologia,Celulares,503.96,4,0.0,131.0296,0.26
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Tecnologia,Celulares,149.95,5,0.0,41.986,0.28
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Tecnologia,Acessórios,29.0,2,0.0,7.25,0.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Material de Escritório,Fichários,7.16,2,0.0,3.4368,0.48
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Tecnologia,Acessórios,176.8,8,0.0,22.984,0.13
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Material de Escritório,Armazenamento,37.224,3,0.2,3.7224,0.1
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Material de Escritório,Papel,20.016,3,0.2,6.255,0.3125
First Class,Home Office,United States,New York City,New York,10035,East,Móveis,Estantes,899.136,4,0.2,112.392,0.125
First Class,Home Office,United States,New York City,New York,10035,East,Tecnologia,Celulares,71.76,6,0.0,20.0928,0.27999999999999997
First Class,Home Office,United States,New York City,New York,10035,East,Material de Escritório,Papel,51.84,8,0.0,24.8832,0.4799999999999999
First Class,Home Office,United States,New York City,New York,10035,East,Móveis,Estantes,626.352,3,0.2,46.9764,0.075
First Class,Home Office,United States,New York City,New York,10035,East,Material de Escritório,Arte,19.9,5,0.0,6.567,0.33
Standard Class,Corporate,United States,Redlands,California,92374,West,Material de Escritório,Envelopes,14.28,7,0.0,6.7116,0.47000000000000003
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Material de Escritório,Arte,7.408,2,0.2,1.2038,0.16249999999999998
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Material de Escritório,Arte,6.048,3,0.2,1.5876,0.26249999999999996
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Material de Escritório,Armazenamento,46.26,3,0.0,12.0276,0.26
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Material de Escritório,Fichários,2.946,2,0.7,-2.2586,-0.7666666666666666
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Material de Escritório,Papel,16.056,3,0.2,5.8203,0.36249999999999993
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Material de Escritório,Papel,21.744,3,0.2,6.795,0.3125
First Class,Consumer,United States,Denver,Colorado,80219,West,Móveis,Mesas,218.75,2,0.5,-161.875,-0.74
First Class,Consumer,United States,Denver,Colorado,80219,West,Material de Escritório,Eletrodomésticos,2.6,1,0.2,0.2925,0.11249999999999999
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Material de Escritório,Eletrodomésticos,66.284,2,0.8,-178.9668,-2.6999999999999997
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Móveis,Decoração,35.168,7,0.2,9.6712,0.275
Standard Class,Consumer,United States,Whittier,California,90604,West,Tecnologia,Celulares,444.768,4,0.2,44.4768,0.1
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Material de Escritório,Armazenamento,83.92,4,0.0,5.8744,0.06999999999999999
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Tecnologia,Celulares,131.98,2,0.0,35.6346,0.27
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Material de Escritório,Fichários,15.92,4,0.0,7.4824,0.47000000000000003
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Material de Escritório,Fixadores,52.29,9,0.0,16.2099,0.31000000000000005
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Material de Escritório,Armazenamento,91.99,1,0.0,3.6796,0.04000000000000001
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Tecnologia,Acessórios,20.8,2,0.2,6.5,0.3125
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Material de Escritório,Etiquetas,23.68,2,0.2,8.88,0.37500000000000006
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Móveis,Estantes,452.45,5,0.5,-244.323,-0.54
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Tecnologia,Celulares,62.982,3,0.4,-14.6958,-0.23333333333333334
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Tecnologia,Máquinas,1188.0,9,0.7,-950.4,-0.7999999999999999
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Tecnologia,Acessórios,89.584,2,0.2,4.4792,0.049999999999999996
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Material de Escritório,Armazenamento,93.06,6,0.0,26.0568,0.27999999999999997
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Tecnologia,Celulares,302.376,3,0.2,22.6782,0.07500000000000001
First Class,Consumer,United States,Dublin,Ohio,43017,East,Material de Escritório,Fixadores,5.584,2,0.2,1.8148,0.325
